# This training set has been optimized for prediction of
# conservation of active-site waters using the following
# weights:
# 0.000000 0.0000 37.709679 0.0000 57.534715 92.672750 0.0000 0.0000
#
# Values for AHP, HBDP, ABVAL, and NBVAL are missing because they are
# not used in the weight set.
#
# ADN	AHP	BVAL	HBDP	HBDW	MOB	ABVAL	NBVAL	Cons
Features: 8
7.0000	0.0000	7.2238	0.0000	4.8571	5.9221	0.0000	0.0000	1
4.0000	0.0000	6.5385	0.0000	2.2857	6.3903	0.0000	0.0000	1
3.0000	0.0000	5.0200	0.0000	1.0000	5.0807	0.0000	0.0000	1
3.0000	0.0000	3.1265	0.0000	2.2857	3.7481	0.0000	0.0000	1
5.0000	0.0000	5.6685	0.0000	1.0000	6.5860	0.0000	0.0000	1
1.0000	0.0000	7.5469	0.0000	1.0000	7.1067	0.0000	0.0000	1
3.0000	0.0000	2.3488	0.0000	1.0000	1.9627	0.0000	0.0000	1
6.0000	0.0000	4.4442	0.0000	2.2857	5.7005	0.0000	0.0000	1
4.0000	0.0000	3.3931	0.0000	4.8571	2.8716	0.0000	0.0000	1
1.0000	0.0000	4.4142	0.0000	3.5714	4.7043	0.0000	0.0000	1
4.0000	0.0000	7.6912	0.0000	1.0000	5.8239	0.0000	0.0000	1
8.0000	0.0000	3.4865	0.0000	3.5714	4.4189	0.0000	0.0000	1
3.0000	0.0000	4.1223	0.0000	6.1429	4.2361	0.0000	0.0000	1
9.0000	0.0000	2.6673	0.0000	4.8571	2.4802	0.0000	0.0000	1
2.0000	0.0000	4.1488	0.0000	2.2857	4.4027	0.0000	0.0000	1
1.0000	0.0000	9.6238	0.0000	1.0000	9.0446	0.0000	0.0000	1
2.0000	0.0000	3.9388	0.0000	6.1429	6.6228	0.0000	0.0000	1
3.0000	0.0000	4.2158	0.0000	3.5714	5.0840	0.0000	0.0000	1
4.0000	0.0000	5.5138	0.0000	2.2857	5.2093	0.0000	0.0000	1
2.0000	0.0000	5.4054	0.0000	3.5714	5.9763	0.0000	0.0000	1
3.0000	0.0000	6.5385	0.0000	3.5714	6.3903	0.0000	0.0000	1
3.0000	0.0000	2.9073	0.0000	3.5714	3.2674	0.0000	0.0000	1
1.0000	0.0000	6.8212	0.0000	1.0000	6.9022	0.0000	0.0000	1
2.0000	0.0000	5.7285	0.0000	4.8571	5.7814	0.0000	0.0000	1
2.0000	0.0000	1.9058	0.0000	3.5714	2.1030	0.0000	0.0000	1
3.0000	0.0000	7.3035	0.0000	1.0000	6.8795	0.0000	0.0000	1
3.0000	0.0000	4.6669	0.0000	1.0000	4.4189	0.0000	0.0000	1
1.0000	0.0000	3.1312	0.0000	4.8571	3.2957	0.0000	0.0000	1
2.0000	0.0000	5.0592	0.0000	2.2857	5.1203	0.0000	0.0000	1
1.0000	0.0000	8.4654	0.0000	1.0000	5.2716	0.0000	0.0000	1
4.0000	0.0000	6.0435	0.0000	7.4286	6.0988	0.0000	0.0000	1
2.0000	0.0000	6.5385	0.0000	3.5714	6.3903	0.0000	0.0000	1
1.0000	0.0000	4.8054	0.0000	7.4286	5.4737	0.0000	0.0000	1
2.0000	0.0000	2.6835	0.0000	4.8571	3.0070	0.0000	0.0000	1
1.0000	0.0000	5.4735	0.0000	3.5714	5.7305	0.0000	0.0000	1
2.0000	0.0000	2.9535	0.0000	1.0000	3.3693	0.0000	0.0000	1
9.0000	0.0000	2.6177	0.0000	4.8571	2.5036	0.0000	0.0000	1
2.0000	0.0000	2.6927	0.0000	4.8571	3.0604	0.0000	0.0000	1
1.0000	0.0000	3.9215	0.0000	1.0000	4.0978	0.0000	0.0000	1
5.0000	0.0000	4.2192	0.0000	3.5714	4.1354	0.0000	0.0000	1
6.0000	0.0000	5.2912	0.0000	2.2857	4.9938	0.0000	0.0000	1
3.0000	0.0000	6.1208	0.0000	3.5714	5.7668	0.0000	0.0000	1
1.0000	0.0000	5.0050	0.0000	2.2857	5.2376	0.0000	0.0000	1
3.0000	0.0000	3.6850	0.0000	1.0000	3.8492	0.0000	0.0000	1
2.0000	0.0000	3.4635	0.0000	4.8571	3.6159	0.0000	0.0000	1
1.0000	0.0000	9.2408	0.0000	1.0000	8.6872	0.0000	0.0000	1
9.0000	0.0000	2.8335	0.0000	4.8571	2.9011	0.0000	0.0000	1
1.0000	0.0000	5.0673	0.0000	1.0000	4.7925	0.0000	0.0000	1
7.0000	0.0000	4.2677	0.0000	2.2857	3.5949	0.0000	0.0000	1
7.0000	0.0000	2.2946	0.0000	1.0000	2.2053	0.0000	0.0000	1
